Designator,Quantity,Comment,Description,Supplier 1,Supplier 2,Supplier Part Number 1,Supplier Part Number 2,Footprint
"DS2","1","B340A","High Current Density SMT Schottky Rectifier, 3A/40V, SMA","Mouser","","621-B340-F","","DIOM5127X23N(SMA)"
"DZ1","1","SMAJ24CA","Surface Mount TVS, Bidirectional, 12V DC Standoff, 1.5kW, SMC","Mouser","","652-SMAJ16CA","","DIOM5127X23N(SMA)"
"J1","1","NEB 21R","Power Jack Socket 1.95/6mm","Mouser","Farnell","490-PJ-050AH","1217037","NEB 21 R"
"J11","1","2x5","IDC Male Header for PCB 2x5 Pin, Straight","Mouser","","710-61201021621","","MLW10G_BK"
"J6","1","MLW 2x10","MLW 2x10","Mouser","","710-61202021621","","MLW20G_BG"
"L3","1","3.3uH/6.5A","SRP6540 Series - Shielded Power Inductors","Mouser","","652-SRP6540-3R3M","","INDM_7.2x6.5"
"L6","1","500Ohm/100MHz","CHOKE, COMMON, 4A, 500OHM, 100MHZ","Mouser","","81-DLW5BTM501SQ2L","","DLW5BT"
"R33","1","0R1","Chip Resistor","Farnell","","8867364","","RESC1608X06N(SMR0603)"
"R36","1","820R","Chip Resistor","Mouser","","603-RC0603FR-07820RL","","RESC1608X06N(SMR0603)"
"R39","1","150k","Chip Resistor","Mouser","","603-RC0603FR-07150KL","","RESC1608X06N(SMR0603)"
"R72","1","47k","Chip Resistor","Mouser","","603-RC0603FR-0747KL","","RESC1608X06N(SMR0603)"
"R86","1","56k","Chip Resistor","Mouser","","603-RC0603FR-0756KL","","RESC1608X06N(SMR0603)"
"T1","1","FDC658AP","30V P  -  Channel PowerTrench  MOSFET","Mouser","","512-FDC658AP","","TSOP95P280X110-6N(SuperSOT6)"
"U1","1","ADAU1452","ADAU1452","Mouser","","584-ADAU1452WBCPZ","","CP_72_6-handsoldering"
"U10","1","LP5907 3.3V","Ultra  Low-Noise,  250-mA  Linear  Regulator","Mouser","Digi-Key","595-LP5907MFX-3.3NPB","296-38557-1-ND","SOT95P280X90-5N(SOT23-5)"
"U11","1","TPS54292","1.5-A/2.5-A Dual, Fully-Synchronous Buck Converter","Mouser","","595-TPS54292PWPR","","TSOP65P640X120_HS-17M(TSSOP16-TP)"
"U14","1","CAT24C512","512 Kb I2C CMOS Serial  EEPROM","Mouser","","863-CAT24C512WI-GT3","","SOIC127P600X175-8N(SOIC_8)"
"U15","1","SP4065","3.3V 20A  Diode  ESD Array","Mouser","","576-SP4065-08ATG","","TSSOP50P490X110-10N(MSOP10)"
"U2","1","Si53360","1:8 LOW JITTER CMOS CLOCK BUFFER  WITH 2:1 INPUT MUX","Mouser","","634-SI53360-B-GT","","TSOP65P640X120-16N (TSSOP16-4.4MM)"
"U4","1","RPi B+/2/3","Rapsberry Pi Header","Mouser","","517-929975-01-20","","RPi B+"
"U6","1","OTJ-8","Toslink Transmitter","TME","","FC684208T","","OTJ/ORJ 8"
"U7","1","ORJ-8","Toslink Reciever","TME","","FC684208R","","OTJ/ORJ 8"
"U8","1","LTC2950-1","Pushbutton On/Off    Controller","Farnell","","2115908","","LT-TS8-8-TSOT-23_V"
"U9","1","TPS54360","3.5 A, Step Down DC-DC Converter","Mouser","","595-TPS54360DDAR","","SOIC127P600X175-8N(SOIC_8)-POWERPAD"
